percentile,precision,recall,f1,tp,fp,fn,tn,threshold_tau
1,0.064516129032258,0.2068965517241379,0.0983606557377049,6,87,23,80,1.1154205592663587e-05
5,0.1266666666666666,0.6551724137931034,0.2122905027932961,19,131,10,36,5.368085902945635e-05
10,0.1333333333333333,0.7586206896551724,0.2268041237113402,22,143,7,24,0.0001198047772745
20,0.1421052631578947,0.9310344827586208,0.2465753424657533,27,163,2,4,0.0003050895135538
50,0.1479591836734693,1.0,0.2577777777777778,29,167,0,0,0.0011972723381752
