Method,Precision,Recall,F1
LPGW,0.1322314049586777,0.7619047619047619,0.2253521126760563
DTW,0.2164948453608247,1.0,0.3559322033898305
Discrete Fréchet,0.21,1.0,0.3471074380165289
Hauorff,0.2164948453608247,1.0,0.3559322033898305
