overlap_ratio,method,precision,recall,f1
1.0,LPGW,0.064516129032258,0.2068965517241379,0.0983606557377049
1.0,DTW,0.5116279069767442,1.0,0.676923076923077
0.8,LPGW,0.087719298245614,0.1724137931034483,0.1162790697674418
0.8,DTW,0.5116279069767442,1.0,0.676923076923077
0.6,LPGW,0.1935483870967742,0.2068965517241379,0.1999999999999999
0.6,DTW,0.5,1.0,0.6666666666666666
0.4,LPGW,0.1034482758620689,0.1034482758620689,0.1034482758620689
0.4,DTW,0.5116279069767442,1.0,0.676923076923077
