noise_std_m,method,precision,recall,f1
0.0,LPGW,0.064516129032258,0.2068965517241379,0.0983606557377049
0.0,DTW,0.5116279069767442,1.0,0.676923076923077
0.1,LPGW,0.086021505376344,0.2758620689655172,0.1311475409836065
0.1,DTW,0.5116279069767442,1.0,0.676923076923077
0.2,LPGW,0.0945945945945946,0.2413793103448276,0.1359223300970873
0.2,DTW,0.5116279069767442,1.0,0.676923076923077
0.5,LPGW,0.1020408163265306,0.1724137931034483,0.1282051282051282
0.5,DTW,0.5116279069767442,1.0,0.676923076923077
1.0,LPGW,0.1176470588235294,0.1379310344827586,0.126984126984127
1.0,DTW,0.5116279069767442,1.0,0.676923076923077
