overlap_ratio,method,precision,recall,f1,num_segments,threshold_tau,num_query_segments,num_reference_segments
1.0,LPGW,0.6765578635014837,0.6745562130177515,0.6755555555555555,496.0,7.959265220203438e-07,,
1.0,DTW,0.9313725490196079,0.9223300970873787,0.9268292682926829,,127.04264464705379,150.0,496.0
0.8,LPGW,0.685459940652819,0.6834319526627219,0.6844444444444445,496.0,4.607800189725964e-07,,
0.8,DTW,0.9313725490196079,0.9223300970873787,0.9268292682926829,,116.17327277844794,150.0,496.0
0.6,LPGW,0.6735905044510386,0.6715976331360947,0.6725925925925926,496.0,5.974569409695285e-07,,
0.6,DTW,0.9509803921568627,0.941747572815534,0.9463414634146341,,108.64924389431128,150.0,496.0
0.4,LPGW,0.6439169139465876,0.6420118343195266,0.642962962962963,496.0,2.4032393495226448e-06,,
0.4,DTW,0.9411764705882353,0.9320388349514563,0.9365853658536586,,104.51222051032616,150.0,496.0
