dataset,tolerance_m,percentile,lambda,num_segments,num_gt_positives,num_predicted_positives,tp,fp,fn,tn,precision,recall,f1,threshold_tau
kitti00,0.5,68.0,0.5,196,0,133,0,133,0,63,0.0,0.0,0.0,2.9412966205262713e-09
kitti00,1.0,68.0,0.5,196,6,133,3,130,3,60,0.022556390977443608,0.5,0.04316546762589928,2.9412966205262713e-09
kitti00,1.5,68.0,0.5,196,17,133,8,125,9,54,0.06015037593984962,0.47058823529411764,0.10666666666666666,2.9412966205262713e-09
kitti00,2.0,68.0,0.5,196,29,133,16,117,13,50,0.12030075187969924,0.5517241379310345,0.19753086419753085,2.9412966205262713e-09
