tp,fp,fn,tn,precision,recall,f1,threshold_tau,percentile_used,fold_evaluated,percentile_selected_on
162,58,19,9,0.7363636363636363,0.8950276243093923,0.8079800498753117,8.608114580194306e-07,50.0,B,A
23,11,134,80,0.6764705882352942,0.1464968152866242,0.24083769633507854,1.3013830186470926e-07,50.0,A,B
228,109,110,49,0.6765578635014837,0.6745562130177515,0.6755555555555555,7.959265220203438e-07,68.0,FULL (not held out),FULL (same data)
