dataset,method,precision,recall,f1,max_f1,average_precision,recall_at_100_precision,recall_at_1,runtime_sec,num_query_segments,num_reference_segments,baseline_policy,seed,ground_truth
kitti,LPGW,0.17333333333333334,1.0,0.29545454545454547,0.29545454545454547,0.1360938318185269,0.0,0.0,0.7648758339999997,150,196,subsample_fixed,42,canonical
kitti,DTW,0.6842105263157895,1.0,0.8125000000000001,0.8125000000000001,0.8424734907413105,0.34615384615384615,1.0,14.015529749999999,150,196,subsample_fixed,42,canonical
kitti,Frechet,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.9397165144405946,0.6153846153846154,1.0,40.317562542000005,150,196,subsample_fixed,42,canonical
kitti,Hausdorff,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.9397165144405946,0.6153846153846154,1.0,0.9533877920000009,150,196,subsample_fixed,42,canonical
