dataset,tolerance_m,percentile,lambda,num_segments,num_gt_positives,num_predicted_positives,tp,fp,fn,tn,precision,recall,f1,threshold_tau
uzhfpv,0.5,68.0,0.5,496,82,337,55,282,27,132,0.1632047477744807,0.6707317073170732,0.26252983293556087,7.959265220203438e-07
uzhfpv,1.0,68.0,0.5,496,165,337,114,223,51,108,0.33827893175074186,0.6909090909090909,0.45418326693227096,7.959265220203438e-07
uzhfpv,1.5,68.0,0.5,496,238,337,164,173,74,85,0.486646884272997,0.6890756302521008,0.5704347826086957,7.959265220203438e-07
uzhfpv,2.0,68.0,0.5,496,338,337,228,109,110,49,0.6765578635014837,0.6745562130177515,0.6755555555555555,7.959265220203438e-07
