overlap_ratio,method,precision,recall,f1,num_segments,threshold_tau,num_query_segments,num_reference_segments
1.0,LPGW,0.12030075187969924,0.5517241379310345,0.19753086419753085,196.0,2.9412966205262713e-09,,
1.0,DTW,0.21568627450980393,1.0,0.3548387096774193,,5992.231070364323,150.0,196.0
0.8,LPGW,0.11278195488721804,0.5172413793103449,0.18518518518518517,196.0,2.650757472150326e-09,,
0.8,DTW,0.21568627450980393,1.0,0.3548387096774193,,5889.6329403996915,150.0,196.0
0.6,LPGW,0.15037593984962405,0.6896551724137931,0.24691358024691357,196.0,1.9680655852315384e-08,,
0.6,DTW,0.21568627450980393,1.0,0.3548387096774193,,5773.910855728312,150.0,196.0
0.4,LPGW,0.14285714285714285,0.6551724137931034,0.23456790123456792,196.0,1.2030340838411627e-07,,
0.4,DTW,0.21568627450980393,1.0,0.3548387096774193,,5687.41898532499,150.0,196.0
