tp,fp,fn,tn,precision,recall,f1,threshold_tau,percentile_used,fold_evaluated,percentile_selected_on
0,0,28,70,0.0,0.0,0.0,5.870883183664956e-11,0.5,B,A
1,83,0,14,0.011904761904761904,1.0,0.023529411764705882,2.9437884062638237e-09,50.0,A,B
16,117,13,50,0.12030075187969924,0.5517241379310345,0.19753086419753085,2.9412966205262713e-09,68.0,FULL (not held out),FULL (same data)
