Method,Precision,Recall,F1
LPGW,0.7176470588235294,0.5922330097087378,0.648936170212766
DTW,0.7202797202797203,1.0,0.8373983739837398
Discrete Fréchet,0.7,0.9514563106796116,0.8065843621399177
Hauorff,0.7357142857142858,1.0,0.8477366255144033
