percentile,precision,recall,f1,tp,fp,fn,tn,threshold_tau
1,0.7009803921568627,0.4230769230769231,0.5276752767527675,143,61,195,97,1.7064975726016112e-05
5,0.7046979865771812,0.621301775147929,0.6603773584905661,210,88,128,70,5.6144296283992386e-05
10,0.7159763313609467,0.7159763313609467,0.7159763313609467,242,96,96,62,9.855070636497852e-05
20,0.7142857142857143,0.8136094674556213,0.7607192254495159,275,110,63,48,0.0001881974341167
50,0.7035398230088495,0.940828402366864,0.8050632911392405,318,134,20,24,0.0005835027844691
