tolerance_m,precision,recall,f1,num_gt_positives
0.5,0.1470588235294117,0.3658536585365853,0.2097902097902098,82
1.0,0.3088235294117647,0.3818181818181818,0.3414634146341463,165
1.5,0.4558823529411764,0.3907563025210084,0.420814479638009,238
2.0,0.7009803921568627,0.4230769230769231,0.5276752767527675,338
