noise_std_m,method,precision,recall,f1,num_segments,num_gt_positives,num_predicted_positives,threshold_tau
0.0,LPGW,0.06451612903225806,0.20689655172413793,0.0983606557377049,196,29,93,1.1154205592663587e-05
0.0,DTW,0.5116279069767442,1.0,0.676923076923077,150,22,43,787.1371748153249
0.1,LPGW,0.08602150537634409,0.27586206896551724,0.13114754098360656,196,29,93,1.776189510675829e-05
0.1,DTW,0.5116279069767442,1.0,0.676923076923077,150,22,43,785.8278553430564
0.2,LPGW,0.0945945945945946,0.2413793103448276,0.13592233009708737,196,29,74,3.428759857868018e-05
0.2,DTW,0.5116279069767442,1.0,0.676923076923077,150,22,43,785.3305323128865
0.5,LPGW,0.10204081632653061,0.1724137931034483,0.12820512820512822,196,29,49,0.00010837463178635057
0.5,DTW,0.5116279069767442,1.0,0.676923076923077,150,22,43,791.2895449644202
1.0,LPGW,0.11764705882352941,0.13793103448275862,0.126984126984127,196,29,34,0.00021132214057329796
1.0,DTW,0.5116279069767442,1.0,0.676923076923077,150,22,43,802.8123584222077
