reference_index,reference_index_fraction,precision,recall,f1,tp,fp,fn,tn,threshold_tau
0,0.0,0.6910994764397905,0.3905325443786982,0.499054820415879,132,59,206,99,1.210773727599288e-05
124,0.2505050505050505,0.6903553299492385,0.40236686390532544,0.508411214953271,136,61,202,97,1.3549763024683496e-05
248,0.501010101010101,0.6839378238341969,0.3905325443786982,0.4971751412429379,132,61,206,97,1.1970093245924488e-05
372,0.7515151515151515,0.6878306878306878,0.38461538461538464,0.493358633776091,130,59,208,99,1.2280502078220146e-05
495,1.0,0.6810810810810811,0.3727810650887574,0.4818355640535373,126,59,212,99,1.225520559425412e-05
