num_query_segments,num_reference_segments,num_pairs,distance_matrix_shape,runtime_seconds,time_per_pair_ms,time_per_query_ms
25,25,625,25x25,0.05336387500000006,0.0853822000000001,2.1345550000000024
50,50,2500,50x50,0.1171101250000004,0.04684405000000016,2.342202500000008
100,100,10000,100x100,0.28237079099999995,0.028237079099999996,2.8237079099999995
150,150,22500,150x150,0.48590737500000003,0.021595883333333333,3.2393825
200,200,40000,200x200,0.7512888750000002,0.018782221875000005,3.756444375000001
