dataset,tolerance_m,percentile,lambda,num_segments,num_gt_positives,num_predicted_positives,tp,fp,fn,tn,precision,recall,f1,threshold_tau
kitti00,0.5,1,0.5,196,0,93,0,93,0,103,0.0,0.0,0.0,1.1154205592663587e-05
kitti00,1.0,1,0.5,196,6,93,2,91,4,99,0.021505376344086023,0.3333333333333333,0.04040404040404041,1.1154205592663587e-05
kitti00,1.5,1,0.5,196,17,93,5,88,12,91,0.053763440860215055,0.29411764705882354,0.0909090909090909,1.1154205592663587e-05
kitti00,2.0,1,0.5,196,29,93,6,87,23,80,0.06451612903225806,0.20689655172413793,0.0983606557377049,1.1154205592663587e-05
