percentile,threshold_tau,tp,fp,fn,tn,precision,recall,f1
1,1.1154205592663587e-05,6,87,23,80,0.06451612903225806,0.20689655172413793,0.0983606557377049
5,5.368085902945635e-05,19,131,10,36,0.12666666666666668,0.6551724137931034,0.2122905027932961
10,0.00011980477727458841,22,143,7,24,0.13333333333333333,0.7586206896551724,0.22680412371134023
20,0.00030508951355380574,27,163,2,4,0.14210526315789473,0.9310344827586207,0.24657534246575338
50,0.0011972723381752067,29,167,0,0,0.14795918367346939,1.0,0.2577777777777778
