dataset,tolerance_m,percentile,lambda,num_segments,num_gt_positives,num_predicted_positives,tp,fp,fn,tn,precision,recall,f1,threshold_tau
uzhfpv,0.5,1,0.5,496,82,204,30,174,52,240,0.14705882352941177,0.36585365853658536,0.2097902097902098,1.7064975726016112e-05
uzhfpv,1.0,1,0.5,496,165,204,63,141,102,190,0.3088235294117647,0.38181818181818183,0.34146341463414637,1.7064975726016112e-05
uzhfpv,1.5,1,0.5,496,238,204,93,111,145,147,0.45588235294117646,0.3907563025210084,0.42081447963800905,1.7064975726016112e-05
uzhfpv,2.0,1,0.5,496,338,204,143,61,195,97,0.7009803921568627,0.4230769230769231,0.5276752767527675,1.7064975726016112e-05
