tolerance_m,tp,fp,fn,tn,precision,recall,f1,threshold_tau
0.5,0,91,0,105,0.0,0.0,0.0,1.1004198722080952e-05
1.0,2,89,4,101,0.02197802197802198,0.3333333333333333,0.04123711340206186,1.1004198722080952e-05
1.5,5,86,12,93,0.054945054945054944,0.29411764705882354,0.0925925925925926,1.1004198722080952e-05
2.0,6,85,23,82,0.06593406593406594,0.20689655172413793,0.09999999999999999,1.1004198722080952e-05
