percentile,threshold_tau,tp,fp,fn,tn,precision,recall,f1
1,1.7064975726016112e-05,143,61,195,97,0.7009803921568627,0.4230769230769231,0.5276752767527675
5,5.6144296283992386e-05,210,88,128,70,0.7046979865771812,0.621301775147929,0.6603773584905661
10,9.855070636497851e-05,242,96,96,62,0.7159763313609467,0.7159763313609467,0.7159763313609467
20,0.0001881974341167011,275,110,63,48,0.7142857142857143,0.8136094674556213,0.7607192254495159
50,0.0005835027844691327,318,134,20,24,0.7035398230088495,0.9408284023668639,0.8050632911392405
