overlap_ratio,method,precision,recall,f1,num_segments,threshold_tau
1.0,LPGW,0.7009803921568627,0.4230769230769231,0.5276752767527675,496,1.7064975726016112e-05
1.0,DTW,1.0,0.5242718446601942,0.6878980891719745,150,89.20284918511925
0.8,LPGW,0.7142857142857143,0.13313609467455623,0.22443890274314215,496,0.00017759630160979934
0.8,DTW,1.0,0.5339805825242718,0.6962025316455696,150,83.41017082113228
0.6,LPGW,0.7872340425531915,0.10946745562130178,0.1922077922077922,496,0.0004300078209131409
0.6,DTW,1.0,0.5242718446601942,0.6878980891719745,150,76.08889235988376
0.4,LPGW,0.5483870967741935,0.05029585798816568,0.09214092140921408,496,0.0010187721515319615
0.4,DTW,1.0,0.5339805825242718,0.6962025316455696,150,69.87601442690968
