tp,fp,fn,tn,precision,recall,f1,threshold_tau,percentile_used,fold_evaluated,percentile_selected_on
18,53,10,17,0.2535211267605634,0.6428571428571429,0.36363636363636365,4.704540647787934e-05,5,B,A
1,97,0,0,0.01020408163265306,1.0,0.020202020202020204,0.001287023103349084,50,A,B
6,87,23,80,0.06451612903225806,0.20689655172413793,0.0983606557377049,1.1154205592663587e-05,1,FULL (not held out),FULL (same data)
