overlap_ratio,method,precision,recall,f1,num_segments,threshold_tau
1.0,LPGW,0.06593406593406594,0.20689655172413793,0.09999999999999999,196,1.1004198722080952e-05
1.0,DTW,0.3023255813953488,1.0,0.46428571428571425,150,787.1371748153249
0.8,LPGW,0.06666666666666667,0.13793103448275862,0.08988764044943821,196,0.00017961828578811422
0.8,DTW,0.3488372093023256,1.0,0.5172413793103449,150,713.3003032439033
0.6,LPGW,0.1875,0.20689655172413793,0.19672131147540986,196,0.0004126638848666178
0.6,DTW,0.29545454545454547,1.0,0.456140350877193,150,633.247225824777
0.4,LPGW,0.13793103448275862,0.13793103448275862,0.13793103448275862,196,0.001177864611073753
0.4,DTW,0.3488372093023256,1.0,0.5172413793103449,150,578.2069244084144
