reference_index,reference_index_fraction,precision,recall,f1,tp,fp,fn,tn,threshold_tau
0,0.0,0.06593406593406594,0.20689655172413793,0.09999999999999999,6,85,23,82,1.1004198722080952e-05
49,0.2512820512820513,0.0625,0.20689655172413793,0.09600000000000002,6,90,23,77,1.1827969120267072e-05
98,0.5025641025641026,0.06666666666666667,0.20689655172413793,0.10084033613445377,6,84,23,83,9.824745982486938e-06
147,0.7538461538461538,0.06818181818181818,0.20689655172413793,0.10256410256410255,6,82,23,85,1.0302433029056855e-05
195,1.0,0.06315789473684211,0.20689655172413793,0.0967741935483871,6,89,23,78,1.1323537062496648e-05
