dataset,method,percentile,precision,recall,f1,tp,fp,fn,threshold_tau,num_predicted_positive,runtime_sec,num_query_segments,num_reference_segments,segment_length_sec,stride_sec,target_points,lambda,spatial_tolerance_m,ground_truth
uzh_fpv,LPGW,1,0.7009803921568627,0.4230769230769231,0.5276752767527675,143,61,195,1.7064975726016112e-05,204,3.76444725,496,496,5.0,1.0,5000,0.5,2.0,canonical
uzh_fpv,LPGW,5,0.7046979865771812,0.621301775147929,0.6603773584905661,210,88,128,5.6144296283992386e-05,298,3.76444725,496,496,5.0,1.0,5000,0.5,2.0,canonical
uzh_fpv,LPGW,10,0.7159763313609467,0.7159763313609467,0.7159763313609467,242,96,96,9.855070636497851e-05,338,3.76444725,496,496,5.0,1.0,5000,0.5,2.0,canonical
uzh_fpv,LPGW,20,0.7142857142857143,0.8136094674556213,0.7607192254495159,275,110,63,0.0001881974341167011,385,3.76444725,496,496,5.0,1.0,5000,0.5,2.0,canonical
uzh_fpv,LPGW,50,0.7035398230088495,0.9408284023668639,0.8050632911392405,318,134,20,0.0005835027844691327,452,3.76444725,496,496,5.0,1.0,5000,0.5,2.0,canonical
