num_query_segments,num_reference_segments,num_pairs,distance_matrix_shape,runtime_seconds,time_per_pair_ms,time_per_query_ms
25,25,625,25x25,0.056187125000000115,0.08989940000000018,2.2474850000000046
50,50,2500,50x50,0.1374948749999998,0.05499794999999992,2.749897499999996
100,100,10000,100x100,0.30894966700000026,0.030894966700000023,3.0894966700000026
150,150,22500,150x150,0.5111496249999998,0.022717761111111102,3.407664166666666
