tp,fp,fn,tn,precision,recall,f1,threshold_tau,percentile_used,fold_evaluated,percentile_selected_on
178,67,3,0,0.726530612244898,0.9834254143646409,0.8356807511737089,0.0010693538324699106,50,B,A
129,60,28,31,0.6825396825396826,0.821656050955414,0.7456647398843932,0.0003825425746100507,50,A,B
143,61,195,97,0.7009803921568627,0.4230769230769231,0.5276752767527675,1.7064975726016112e-05,1,FULL (not held out),FULL (same data)
